Category,Rating,Count,Average,Median,StdDev,Min,Max
Cool/Clever,Confident,65,3.7384615384615385,4.0,1.0852425900645168,1.0,5.0
Cool/Clever,Expressive,65,3.5076923076923077,4.0,1.382562580840675,1.0,5.0
Cool/Clever,Kawaii,65,2.953846153846154,3.0,1.2456789218459792,1.0,5.0
Cool/Clever,Natural,65,2.6,3.0,1.064099474817882,1.0,5.0
Cool/Clever,Original,65,3.4,4.0,1.2746040109051064,1.0,5.0
Cool/Clever,Warmth,65,2.753846153846154,3.0,1.2029549416815146,1.0,5.0
Dependant/Needy,Confident,65,2.8461538461538463,3.0,0.9153522941934472,1.0,5.0
Dependant/Needy,Expressive,65,3.230769230769231,3.0,1.0193396168293813,1.0,5.0
Dependant/Needy,Kawaii,65,3.5692307692307694,4.0,0.8938977874667046,1.0,5.0
Dependant/Needy,Natural,65,2.4615384615384617,2.0,1.0680956897052172,1.0,5.0
Dependant/Needy,Original,65,3.0923076923076924,3.0,0.9879750374155275,1.0,5.0
Dependant/Needy,Warmth,65,3.1846153846153844,3.0,0.9749525857079914,1.0,5.0
Escapist/Dreamy,Confident,65,2.9846153846153847,3.0,1.1568166890527671,1.0,5.0
Escapist/Dreamy,Expressive,65,2.7846153846153845,3.0,1.1162065936748957,1.0,5.0
Escapist/Dreamy,Kawaii,65,3.1846153846153844,3.0,1.0508942374115733,1.0,5.0
Escapist/Dreamy,Natural,65,3.4,3.0,1.0784604411275003,1.0,5.0
Escapist/Dreamy,Original,65,3.0307692307692307,3.0,1.1498391963726027,1.0,5.0
Escapist/Dreamy,Warmth,65,3.169230769230769,3.0,1.0607577954423506,1.0,5.0
Joyful/Smiling,Confident,65,3.8461538461538463,4.0,0.78897731722819,2.0,5.0
Joyful/Smiling,Expressive,65,4.2,4.0,0.8264846780654334,2.0,5.0
Joyful/Smiling,Kawaii,65,3.753846153846154,4.0,0.9119846360171651,1.0,5.0
Joyful/Smiling,Natural,65,2.723076923076923,3.0,1.0885091046959217,1.0,5.0
Joyful/Smiling,Original,65,3.353846153846154,3.0,1.0292756113032449,1.0,5.0
Joyful/Smiling,Warmth,65,4.0,4.0,0.8227533512074423,2.0,5.0
Normal/Warmup,Confident,65,3.523076923076923,4.0,0.9624918350533571,1.0,5.0
Normal/Warmup,Expressive,65,2.769230769230769,3.0,1.0780214179295293,1.0,5.0
Normal/Warmup,Kawaii,65,2.230769230769231,2.0,1.0921993445722369,1.0,5.0
Normal/Warmup,Natural,65,3.6307692307692307,4.0,1.247387803115353,1.0,5.0
Normal/Warmup,Original,65,2.5538461538461537,3.0,1.0817474357690426,1.0,5.0
Normal/Warmup,Warmth,65,2.9846153846153847,3.0,1.015151488389146,1.0,5.0
Playful/Clumsy,Confident,65,3.3692307692307693,4.0,1.1034105278179143,1.0,5.0
Playful/Clumsy,Expressive,65,3.7846153846153845,4.0,0.9998816498013491,1.0,5.0
Playful/Clumsy,Kawaii,65,3.6307692307692307,4.0,0.9855764540336596,1.0,5.0
Playful/Clumsy,Natural,65,2.707692307692308,2.0,1.1330432393551981,1.0,5.0
Playful/Clumsy,Original,65,3.4923076923076923,4.0,0.9627377136715087,2.0,5.0
Playful/Clumsy,Warmth,65,3.523076923076923,3.0,0.8962776408387391,1.0,5.0
Shy/Gentle,Confident,65,2.6,2.0,1.0926326710501357,1.0,5.0
Shy/Gentle,Expressive,65,3.4153846153846152,4.0,1.0508942374115733,1.0,5.0
Shy/Gentle,Kawaii,65,3.646153846153846,4.0,0.9989343434306417,1.0,5.0
Shy/Gentle,Natural,65,2.9076923076923076,3.0,1.2856973794323803,1.0,5.0
Shy/Gentle,Original,65,3.1076923076923078,3.0,0.9627377136715087,1.0,5.0
Shy/Gentle,Warmth,65,3.5076923076923077,4.0,1.0687602727974403,1.0,5.0
